Site,Breakage force (N),Breaking diameter (mm),Number of blades,Width at widest cross section (mm),Planform Area (m^2),Total plant length (mm),Validity,,,
Fringing Reef,28.94280597,1.22,33,36.68,0.0066,195,1,,,
Fringing Reef,25.99980597,2.33,36,41.19,0.0072,238,1,,,
Fringing Reef,33.84780597,1.23,37,35.58,0.0074,217,1,,,
Fringing Reef,25.01880597,1.25,45,40.04,0.009,218,1,,,
Fringing Reef,29.92380597,1.22,45,36.75,0.009,218,1,,,
Fringing Reef,21.58530597,2.22,40,33.44,0.008,235,1,,,
Fringing Reef,25.99980597,1.23,32,40.04,0.0064,255,1,,,
Fringing Reef,21.09480597,0.14,39,33.47,0.0078,275,0,,,
Fringing Reef,1.96530597,1.22,37,37.87,0.0074,205,1,,,
Fringing Reef,29.43330597,1.24,46,40.02,0.0092,227,1,,,
Fringing Reef,32.86680597,0.14,33,37.82,0.0066,162,0,,,
Fringing Reef,21.09480597,1.21,38,43.4,0.0076,195,1,,,
Fringing Reef,26.49030597,0.16,36,36.65,0.0072,176,0,,,
Fringing Reef,26.49030597,1.25,25,37.83,0.005,234,1,,,
Fringing Reef,24.03780597,1.22,37,37.78,0.0074,192,1,,,
Fringing Reef,22.56630597,1.24,38,36.72,0.0076,184,1,,,
Fringing Reef,24.52830597,1.24,43,38.91,0.0086,217,1,,,
Fringing Reef,29.43330597,1.26,37,33.38,0.0074,238,1,,,
Fringing Reef,15.69930597,1.22,47,39.95,0.0094,199,1,,,
Fringing Reef,11.28480597,1.21,44,38.92,0.0088,205,1,,,
Fringing Reef,26.98080597,1.22,36,37.79,0.0072,179,1,,,
Fringing Reef,26.98080597,1.22,32,37.87,0.0064,223,1,,,
Fringing Reef,25.01880597,1.21,33,36.68,0.0066,168,1,,,
Fringing Reef,25.99980597,0.15,36,32.34,0.0072,193,0,,,
Fringing Reef,24.52830597,1.17,38,38.94,0.0076,200,1,,,
Fringing Reef,12.26580597,0.16,37,36.63,0.0074,186,0,,,
Fringing Reef,25.01880597,1.23,40,36.71,0.008,190,1,,, 
Fringing Reef,22.07580597,1.21,36,33.45,0.0072,198,1,,,
Fringing Reef,23.05680597,1.21,33,34.49,0.0066,217,1,,,
Fringing Reef,6.37980597,0.13,29,32.34,0.0058,194,0,,,
Back Reef A,30.90480597,1.25,33,32.25,0.0066,119,1,,,
Back Reef A,28.94280597,1.26,40,32.27,0.008,180,1,,,
Back Reef A,25.99980597,1.23,42,31.23,0.0084,181,1,,,
Back Reef A,26.98080597,1.22,35,29.99,0.007,144,1,,,
Back Reef A,21.58530597,1.2,43,31.24,0.0086,201,1,,,
Back Reef A,21.09480597,1.18,40,31.24,0.008,158,1,,,
Back Reef A,26.49030597,1.26,43,27.85,0.0086,184,1,,,
Back Reef A,29.43330597,1.24,40,28.9,0.008,153,1,,,
Back Reef A,25.01880597,1.24,35,29.94,0.007,192,1,,,
Back Reef A,21.09480597,1.23,48,30.16,0.0096,193,1,,,
Back Reef A,32.37630597,1.21,36,30.26,0.0072,139,1,,,
Back Reef A,21.09480597,1.22,35,28.91,0.007,141,1,,,
Back Reef A,23.54730597,1.18,30,30.09,0.006,148,1,,,
Back Reef A,29.43330597,1.22,31,26.71,0.0062,153,1,,,
Back Reef A,35.31930597,1.9,38,30.15,0.0076,149,1,,,
Back Reef A,21.09480597,1.31,37,27.78,0.0074,155,1,,,
Back Reef A,45.12930597,1.21,46,30.06,0.0092,161,1,,,
Back Reef A,30.90480597,1.14,49,27.78,0.0098,160,1,,,
Back Reef A,22.07580597,1.19,42,30.04,0.0084,54,1,,,
Back Reef A,39.73380597,1.24,35,27.85,0.007,123,1,,,
Back Reef A,32.37630597,1.22,29,27.89,0.0058,105,1,,,
Back Reef A,16.18980597,1.23,33,31.2,0.0066,127,1,,,
Back Reef A,49.05330597,1.21,35,29.01,0.007,124,1,,,
Back Reef A,27.96180597,1.22,36,27.86,0.0072,147,1,,,
Back Reef A,33.84780597,1.24,26,31.21,0.0052,144,1,,,
Back Reef A,25.50930597,1.22,35,28.87,0.007,111,1,,,
Back Reef A,45.61980597,1.21,31,31.72,0.0062,99,1,,,
Back Reef A,44.63880597,1.23,29,33.35,0.0058,107,1,,,
Back Reef A,46.11030597,1.2,27,31.18,0.0054,92,1,,,
Back Reef A,25.99980597,1.22,29,29.98,0.0058,107,1,,,
Back Reef B,35.80980597,1.24,30,31.11,0.006,136,1,,,
Back Reef B,31.88580597,1.22,36,30.11,0.0072,98,1,,,
Back Reef B,25.50930597,1.22,38,29.04,0.0076,164,1,,,
Back Reef B,17.66130597,1.23,29,29.49,0.0058,124,1,,,
Back Reef B,36.30030597,1.23,36,30.12,0.0072,154,1,,,
Back Reef B,28.45230597,1.22,36,29.01,0.0072,130,1,,,
Back Reef B,36.30030597,1.23,37,28.93,0.0074,232,1,,,
Back Reef B,37.28130597,1.23,38,30.15,0.0076,164,1,,,
Back Reef B,30.90480597,1.24,34,29.02,0.0068,201,1,,,
Back Reef B,31.39530597,1.22,30,30.09,0.006,147,1,,,
Back Reef B,34.33830597,1.24,36,26.72,0.0072,159,1,,,
Back Reef B,37.28130597,1.26,36,31.21,0.0072,141,1,,,
Back Reef B,35.80980597,1.21,29,27.82,0.0058,118,1,,,
Back Reef B,30.90480597,1.28,35,30.08,0.007,180,1,,,
Back Reef B,38.26230597,1.23,26,30.11,0.0052,144,1,,,
Back Reef B,30.90480597,1.23,31,31.22,0.0062,113,1,,,
Back Reef B,28.45230597,1.28,30,27.81,0.006,155,1,,,
Back Reef B,31.88580597,1.26,28,29.04,0.0056,113,1,,,
Back Reef B,28.94280597,1.19,26,28.92,0.0052,103,1,,,
Back Reef B,35.80980597,1.21,32,29.97,0.0064,184,1,,,
Back Reef B,27.47130597,1.2,28,31.23,0.0056,108,1,,,
Back Reef B,34.82880597,1.22,39,27.81,0.0078,146,1,,,
Back Reef B,30.90480597,1.23,28,28.89,0.0056,83,1,,,
Back Reef B,37.28130597,1.25,38,29.96,0.0076,175,1,,,
Back Reef B,35.80980597,1.18,30,30.07,0.006,121,1,,,
Back Reef B,29.92380597,1.21,32,28.91,0.0064,97,1,,,
Back Reef B,22.56630597,1.28,24,27.86,0.0048,112,1,,,
Back Reef B,31.39530597,1.21,39,28.93,0.0078,142,1,,,
Back Reef B,27.47130597,1.2,29,28.87,0.0058,128,1,,,
Back Reef B,34.33830597,1.18,24,29.94,0.0048,112,1,,,
